IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.236.166.131,8880,false,SIN,Asia Pacific,Singapore,219 ms,5930 kB/s
47.236.172.71,2086,false,SIN,Asia Pacific,Singapore,239 ms,5906 kB/s
8.222.164.209,2052,false,SIN,Asia Pacific,Singapore,217 ms,5880 kB/s
47.236.202.91,2082,false,SIN,Asia Pacific,Singapore,227 ms,5867 kB/s
8.219.77.222,8080,false,SIN,Asia Pacific,Singapore,226 ms,5865 kB/s
8.219.78.188,2095,false,SIN,Asia Pacific,Singapore,232 ms,5862 kB/s
47.236.87.246,2052,false,SIN,Asia Pacific,Singapore,237 ms,5843 kB/s
47.236.75.113,2082,false,SIN,Asia Pacific,Singapore,224 ms,5839 kB/s
47.236.170.225,80,false,SIN,Asia Pacific,Singapore,222 ms,5834 kB/s
47.236.180.51,80,false,SIN,Asia Pacific,Singapore,229 ms,5829 kB/s
8.222.164.209,2095,false,SIN,Asia Pacific,Singapore,235 ms,5813 kB/s
47.236.83.239,2086,false,SIN,Asia Pacific,Singapore,242 ms,5782 kB/s
8.219.78.188,80,false,SIN,Asia Pacific,Singapore,230 ms,5782 kB/s
47.236.254.120,2082,false,SIN,Asia Pacific,Singapore,231 ms,5771 kB/s
8.219.124.227,8080,false,SIN,Asia Pacific,Singapore,219 ms,5766 kB/s
47.236.97.90,2095,false,SIN,Asia Pacific,Singapore,216 ms,5760 kB/s
8.219.67.133,2086,false,SIN,Asia Pacific,Singapore,217 ms,5755 kB/s
47.236.146.249,8880,false,SIN,Asia Pacific,Singapore,235 ms,5747 kB/s
47.236.205.188,2095,false,SIN,Asia Pacific,Singapore,229 ms,5745 kB/s
47.236.144.156,2082,false,SIN,Asia Pacific,Singapore,244 ms,5721 kB/s
47.236.168.17,8080,false,SIN,Asia Pacific,Singapore,240 ms,5709 kB/s
47.236.202.91,8080,false,SIN,Asia Pacific,Singapore,225 ms,5708 kB/s
8.219.235.164,8080,false,SIN,Asia Pacific,Singapore,224 ms,5697 kB/s
47.236.169.164,8880,false,SIN,Asia Pacific,Singapore,229 ms,5686 kB/s
47.237.95.13,8080,false,SIN,Asia Pacific,Singapore,236 ms,5670 kB/s
47.236.9.152,8880,false,SIN,Asia Pacific,Singapore,226 ms,5665 kB/s
47.236.102.102,2095,false,SIN,Asia Pacific,Singapore,222 ms,5662 kB/s
47.236.170.54,8880,false,SIN,Asia Pacific,Singapore,244 ms,5644 kB/s
8.222.144.50,2052,false,SIN,Asia Pacific,Singapore,237 ms,5642 kB/s
47.236.205.188,2086,false,SIN,Asia Pacific,Singapore,220 ms,5633 kB/s
47.236.237.90,2052,false,SIN,Asia Pacific,Singapore,233 ms,5619 kB/s
47.236.144.196,8880,false,SIN,Asia Pacific,Singapore,221 ms,5612 kB/s
47.236.97.90,80,false,SIN,Asia Pacific,Singapore,220 ms,5602 kB/s
47.236.75.113,80,false,SIN,Asia Pacific,Singapore,244 ms,5594 kB/s
8.222.208.38,2052,false,SIN,Asia Pacific,Singapore,221 ms,5589 kB/s
8.219.4.122,2086,false,SIN,Asia Pacific,Singapore,225 ms,5581 kB/s
