IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.219.77.141,80,false,SJC,North America,San Jose,227 ms,525 kB/s
47.76.146.1,8880,false,HKG,Asia Pacific,Hong Kong,55 ms,513 kB/s
8.217.145.40,2095,false,HKG,Asia Pacific,Hong Kong,57 ms,390 kB/s
8.219.237.250,2052,false,SIN,Asia Pacific,Singapore,241 ms,361 kB/s
47.76.146.1,2082,false,HKG,Asia Pacific,Hong Kong,57 ms,345 kB/s
8.217.145.40,2052,false,HKG,Asia Pacific,Hong Kong,62 ms,325 kB/s
47.90.141.204,80,false,LAX,North America,Los Angeles,262 ms,272 kB/s
8.218.3.12,8080,false,HKG,Asia Pacific,Hong Kong,65 ms,227 kB/s
8.218.3.12,2086,false,HKG,Asia Pacific,Hong Kong,59 ms,209 kB/s
47.88.85.197,2095,false,SJC,North America,San Jose,194 ms,190 kB/s
8.218.18.235,2086,false,HKG,Asia Pacific,Hong Kong,63 ms,184 kB/s
47.76.94.15,80,false,HKG,Asia Pacific,Hong Kong,61 ms,153 kB/s
8.217.145.40,8080,false,HKG,Asia Pacific,Hong Kong,57 ms,151 kB/s
8.218.126.53,2086,false,HKG,Asia Pacific,Hong Kong,56 ms,127 kB/s
8.218.3.12,2052,false,HKG,Asia Pacific,Hong Kong,61 ms,106 kB/s
8.218.3.12,2082,false,HKG,Asia Pacific,Hong Kong,56 ms,90 kB/s
8.212.12.98,80,false,HKG,Asia Pacific,Hong Kong,82 ms,70 kB/s
47.76.94.15,2086,false,HKG,Asia Pacific,Hong Kong,63 ms,66 kB/s
47.76.49.246,2086,false,HKG,Asia Pacific,Hong Kong,61 ms,0 kB/s
47.76.49.246,80,false,HKG,Asia Pacific,Hong Kong,61 ms,0 kB/s
47.76.49.246,8880,false,HKG,Asia Pacific,Hong Kong,60 ms,0 kB/s
47.236.169.164,8080,false,SIN,Asia Pacific,Singapore,229 ms,0 kB/s
47.236.168.17,8080,false,SIN,Asia Pacific,Singapore,222 ms,0 kB/s
47.236.17.193,2082,false,SIN,Asia Pacific,Singapore,230 ms,0 kB/s
47.76.94.15,8880,false,HKG,Asia Pacific,Hong Kong,61 ms,0 kB/s
47.76.49.246,2095,false,HKG,Asia Pacific,Hong Kong,60 ms,0 kB/s
47.236.5.223,2052,false,SIN,Asia Pacific,Singapore,233 ms,0 kB/s
47.236.254.120,2086,false,SIN,Asia Pacific,Singapore,240 ms,0 kB/s
47.76.204.76,8880,false,HKG,Asia Pacific,Hong Kong,59 ms,0 kB/s
47.76.49.246,2052,false,HKG,Asia Pacific,Hong Kong,56 ms,0 kB/s
47.76.178.146,80,false,HKG,Asia Pacific,Hong Kong,61 ms,0 kB/s
47.236.104.11,2052,false,SIN,Asia Pacific,Singapore,246 ms,0 kB/s
47.236.253.41,2095,false,SIN,Asia Pacific,Singapore,246 ms,0 kB/s
8.217.145.40,8880,false,HKG,Asia Pacific,Hong Kong,57 ms,0 kB/s
47.76.178.146,2052,false,HKG,Asia Pacific,Hong Kong,64 ms,0 kB/s
47.237.10.1,80,false,SIN,Asia Pacific,Singapore,221 ms,0 kB/s
47.76.178.146,8880,false,HKG,Asia Pacific,Hong Kong,58 ms,0 kB/s
47.236.145.85,8880,false,SIN,Asia Pacific,Singapore,239 ms,0 kB/s
47.76.146.1,2095,false,HKG,Asia Pacific,Hong Kong,59 ms,0 kB/s
8.218.3.12,2095,false,HKG,Asia Pacific,Hong Kong,59 ms,0 kB/s
8.218.126.53,2095,false,HKG,Asia Pacific,Hong Kong,56 ms,0 kB/s
8.218.18.235,8880,false,HKG,Asia Pacific,Hong Kong,61 ms,0 kB/s
8.218.243.95,80,false,HKG,Asia Pacific,Hong Kong,63 ms,0 kB/s
