IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.219.142.191,8443,true,SIN,Asia Pacific,Singapore,232 ms,7809 kB/s
8.219.106.156,2096,true,SIN,Asia Pacific,Singapore,228 ms,7160 kB/s
8.222.164.209,2083,true,SIN,Asia Pacific,Singapore,218 ms,7038 kB/s
8.219.77.222,2096,true,SIN,Asia Pacific,Singapore,242 ms,6972 kB/s
8.219.177.205,2053,true,SIN,Asia Pacific,Singapore,244 ms,6673 kB/s
8.219.177.205,8443,true,SIN,Asia Pacific,Singapore,218 ms,6581 kB/s
8.219.106.156,443,true,SIN,Asia Pacific,Singapore,234 ms,6575 kB/s
8.219.106.156,2087,true,SIN,Asia Pacific,Singapore,223 ms,6504 kB/s
8.222.164.209,2053,true,SIN,Asia Pacific,Singapore,221 ms,6497 kB/s
8.222.208.38,2087,true,SIN,Asia Pacific,Singapore,224 ms,6433 kB/s
8.219.124.227,8443,true,SIN,Asia Pacific,Singapore,226 ms,6429 kB/s
8.219.78.188,2096,true,SIN,Asia Pacific,Singapore,226 ms,6376 kB/s
8.222.144.50,2087,true,SIN,Asia Pacific,Singapore,229 ms,6296 kB/s
8.222.208.38,2096,true,SIN,Asia Pacific,Singapore,220 ms,6247 kB/s
8.219.77.222,8443,true,SIN,Asia Pacific,Singapore,227 ms,6100 kB/s
47.236.102.102,8443,true,SIN,Asia Pacific,Singapore,241 ms,6085 kB/s
47.236.144.196,2083,true,SIN,Asia Pacific,Singapore,244 ms,5959 kB/s
8.219.77.222,2083,true,SIN,Asia Pacific,Singapore,254 ms,5954 kB/s
47.236.253.41,2053,true,SIN,Asia Pacific,Singapore,238 ms,5915 kB/s
8.219.106.156,8443,true,SIN,Asia Pacific,Singapore,245 ms,5903 kB/s
47.236.205.188,2096,true,SIN,Asia Pacific,Singapore,224 ms,5890 kB/s
47.237.95.156,8443,true,SIN,Asia Pacific,Singapore,233 ms,5858 kB/s
47.237.100.206,2083,true,SIN,Asia Pacific,Singapore,227 ms,5816 kB/s
47.236.145.85,2083,true,SIN,Asia Pacific,Singapore,251 ms,5813 kB/s
8.219.191.110,2083,true,SIN,Asia Pacific,Singapore,222 ms,5803 kB/s
47.236.83.239,2087,true,SIN,Asia Pacific,Singapore,240 ms,5783 kB/s
47.237.81.112,2087,true,SIN,Asia Pacific,Singapore,217 ms,5710 kB/s
47.237.82.15,8443,true,SIN,Asia Pacific,Singapore,226 ms,5642 kB/s
8.222.136.247,2083,true,SIN,Asia Pacific,Singapore,226 ms,5596 kB/s
8.219.191.40,2053,true,SIN,Asia Pacific,Singapore,219 ms,5564 kB/s
